rule,type,coef,support,importance,category
mean_zcd_RC_M1_SHC_WP_UE_CLN_RAT <= 0.26033,ZCD,3.8854858979803137,0.8164556962025317,1.5041186776270528,베이커리
mean_zcd_M1_SME_RY_CNT_RAT > -0.70823,ZCD,-2.495545287929913,0.8354430379746836,0.9252988198777986,베이커리
mean_zcd_RC_M1_SAA <= 1.07782,ZCD,-1.005183641136664,0.879746835443038,0.32694336311772787,베이커리
mean_zcd_M12_SME_RY_SAA_PCE_RT <= 1.1838,ZCD,0.7062761302246341,0.8924050632911392,0.21885247321105866,베이커리
slope_zcd_M1_SME_RY_CNT_RAT > -0.06812,ZCD,-0.24303332023010774,0.9493670886075949,0.0532843112114815,베이커리
mean_zcd_MCT_UE_CLN_NEW_RAT <= 0.30224,ZCD,1.074861606343062,0.9113924050632911,0.30545042044049797,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT > -0.00052,ZCD,-3.693251774890009,0.7974683544303798,1.4842671988111698,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT > -0.0196,ZCD,-0.07489456875683566,0.8987341772151899,0.02259422248924979,베이커리
slope_zcd_M1_SME_RY_SAA_RAT > -0.05481,ZCD,-0.04122536758052871,0.9556962025316456,0.008482911640984966,베이커리
mean_zcd_M1_SME_RY_SAA_RAT > -0.81707,ZCD,-0.06833552061281611,0.8860759493670886,0.02171149309714124,베이커리
mean_zcd_RC_M1_SAA <= 1.10779,ZCD,-1.8135251925965372,0.8924050632911392,0.561953684466272,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT > -0.01986,ZCD,-0.8139663568780051,0.8987341772151899,0.245557685574993,베이커리
slope_zcd_M12_SME_RY_SAA_PCE_RT > -0.08251,ZCD,-0.23133284616332953,0.9810126582278481,0.031572334154601436,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT > -0.01985,ZCD,-0.7350808678932145,0.8987341772151899,0.22175948072675497,베이커리
slope_zcd_M1_SME_RY_SAA_RAT > -0.0545,ZCD,-0.1389849364019271,0.9556962025316456,0.028598821650830317,베이커리
slope_zcd_M1_SME_RY_SAA_RAT > -0.04916,ZCD,-0.027899800456116397,0.930379746835443,0.007100664941914536,베이커리
mean_zcd_RC_M1_SHC_WP_UE_CLN_RAT <= 0.26037,ZCD,-1.946610169448234,0.9620253164556962,0.3720654301100887,베이커리
slope_zcd_M1_SME_RY_CNT_RAT > -0.07969,ZCD,-0.10253703372017756,0.9556962025316456,0.02109896522518301,베이커리
mean_zcd_MCT_UE_CLN_NEW_RAT > 0.05663,ZCD,0.14041106147125113,0.3291139240506329,0.0659779534255305,베이커리
slope_zcd_RC_M1_TO_UE_CT > -0.00302,ZCD,3.6187139439949583,0.4430379746835443,1.797577084295401,베이커리
mean_zcd_M1_SME_RY_CNT_RAT <= -0.70828,ZCD,3.3179459091784214,0.16455696202531644,1.2302286995271654,베이커리
mean_zcd_RC_M1_AV_NP_AT > 0.47715,ZCD,-3.9150471931098987,0.2911392405063291,1.7785572192903,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT <= -0.00066,ZCD,2.50093477245033,0.20253164556962025,1.0050913599641749,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT <= -0.00098,ZCD,4.6545528628397115,0.1962025316455696,1.8484324642933785,베이커리
mean_zcd_MCT_UE_CLN_NEW_RAT > 0.05585,ZCD,0.5080192505477211,0.33544303797468356,0.23985880565938114,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT <= -0.00054,ZCD,2.3427429871980743,0.20253164556962025,0.9415162526379768,베이커리
mean_zcd_M12_SME_RY_SAA_PCE_RT > 1.13684,ZCD,1.0303744899147913,0.12025316455696203,0.33513687172874923,베이커리
mean_zcd_M12_SME_RY_SAA_PCE_RT > 1.1838,ZCD,-4.952712716019257,0.10759493670886076,1.5346878941808932,베이커리
slope_zcd_RC_M1_SHC_WP_UE_CLN_RAT <= 0.00033,ZCD,1.1604987244761649,0.6645569620253164,0.5479237995843242,베이커리
mean_zcd_M1_SME_RY_CNT_RAT <= -0.70823,ZCD,3.029236425088336,0.16455696202531644,1.1231809347728412,베이커리
mean_zcd_RC_M1_SHC_WP_UE_CLN_RAT > 0.26033,ZCD,-5.023557316553865,0.18354430379746836,1.9446799155509353,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT <= -0.00052,ZCD,2.01352668193884,0.20253164556962025,0.8092087380156793,베이커리
mean_zcd_M1_SME_RY_CNT_RAT <= -0.70017,ZCD,2.3859742090399396,0.18354430379746836,0.9236395309062554,베이커리
slope_zcd_RC_M1_SAA > 0.05609,ZCD,8.956198384753556,0.0949367088607595,2.6253080254543466,베이커리
slope_zcd_RC_M1_SAA > 0.05451,ZCD,6.803960472085215,0.10126582278481013,2.052621428577535,베이커리
mean_zcd_M1_SME_RY_SAA_RAT <= -0.72171,ZCD,-0.3119381545005858,0.17088607594936708,0.11741644884384246,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT <= -0.0196,ZCD,4.212534979279671,0.10126582278481013,1.2708391829401535,베이커리
mean_zcd_RC_M1_SAA > 1.10737,ZCD,9.16842917643447,0.10759493670886076,2.841004126933933,베이커리
mean_zcd_MCT_UE_CLN_NEW_RAT > 0.30224,ZCD,-5.132583335788732,0.08860759493670886,1.4585596216394996,베이커리
mean_zcd_RC_M1_SAA > 1.07782,ZCD,0.5747758748307921,0.12025316455696203,0.18695007545448505,베이커리
mean_zcd_M1_SME_RY_SAA_RAT <= -0.81707,ZCD,0.5577865028359197,0.11392405063291139,0.17721936845432268,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT <= -0.01986,ZCD,2.4552938939296105,0.10126582278481013,0.7407140122010362,베이커리
slope_zcd_MCT_UE_CLN_NEW_RAT <= -0.01985,ZCD,2.563146141146267,0.10126582278481013,0.7732509198837617,베이커리
mean_zcd_RC_M1_SAA > 1.10779,ZCD,9.281979636417622,0.10759493670886076,2.876189797152835,베이커리
slope_zcd_M1_SME_RY_CNT_RAT <= -0.07969,ZCD,1.7459566453350055,0.04430379746835443,0.35926413324117246,베이커리
mean_zcd_MCT_UE_CLN_NEW_RAT > 0.32509,ZCD,-5.751767147706078,0.08227848101265822,1.5805196012762124,베이커리
slope_zcd_M1_SME_RY_SAA_RAT <= -0.0545,ZCD,11.129260787590441,0.04430379746835443,2.2900592870686465,베이커리
slope_zcd_M12_SME_RY_SAA_PCE_RT <= -0.08251,ZCD,4.857109123025337,0.0189873417721519,0.6628988265213673,베이커리
slope_zcd_M1_SME_RY_CNT_RAT <= -0.06449,ZCD,1.7063651442628973,0.05063291139240506,0.37411533242125755,베이커리
slope_zcd_M1_SME_RY_CNT_RAT <= -0.06538,ZCD,0.6955360174585274,0.05063291139240506,0.15249414186484597,베이커리
slope_zcd_M1_SME_RY_SAA_RAT <= -0.05481,ZCD,12.514969696358703,0.04430379746835443,2.575195525338571,베이커리
mean_zcd_RC_M1_SHC_WP_UE_CLN_RAT > 0.26037,ZCD,7.350297391558795,0.0379746835443038,1.4048994520575027,베이커리
slope_zcd_RC_M1_SHC_RSD_UE_CLN_RAT <= 0.00631,ZCD,0.5113785701257098,0.5460526315789473,0.2546024204622781,분식
slope_zcd_RC_M1_SHC_RSD_UE_CLN_RAT <= 0.0062,ZCD,-7.712227595773515,0.5197368421052632,3.8531083829091943,분식
slope_zcd_RC_M1_SHC_RSD_UE_CLN_RAT <= 0.00675,ZCD,0.1327349112302394,0.5657894736842105,0.06579043670288072,분식
slope_zcd_MCT_UE_CLN_NEW_RAT > -0.0013,ZCD,-9.221233712744267,0.6644736842105263,4.3540279878840975,분식
mean_zcd_M1_SME_RY_CNT_RAT <= 0.20932,ZCD,-1.3805603763927892,0.7302631578947368,0.612724483373048,분식
mean_zcd_RC_M1_UE_CUS_CN > -0.6955,ZCD,-1.6599538654325463,0.7763157894736842,0.6917240765207825,분식
slope_zcd_RC_M1_UE_CUS_CN <= 0.02424,ZCD,-0.5171780437374794,0.8421052631578947,0.18858497859208284,분식
